id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1194718522146000901,1194695576224509957,1573678067000,2019-11-13,21:47:47,CET,1978864836,nikpalm64,Nik 🌈,,Molti vorrebbero chiudere e stop.,"['russodelmonte', 'ilmici8']",[],[],0,0,0,[],[],https://twitter.com/nikpalm64/status/1194718522146000901,False,,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '1978864836', 'username': 'nikpalm64'}, {'user_id': '3882448535', 'username': 'russodelmonte'}, {'user_id': '1155069798', 'username': 'IlMici8'}]",,,,
1194718488687972352,1194718488687972352,1573678059000,2019-11-13,21:47:39,CET,2970007337,rfantazzini,Raffaele Fantazzini,,"#ElogioDellaFollia #ErasmoDaRotterdam #Fantaletture #ClassiciDaLeggere #Bibliofilincurabili @ Montalbano Ionico, Basilicata, Italy  https://www.instagram.com/p/B40c6-3qoao/?igshid=1o26h6d2zh8fi …",[],['https://www.instagram.com/p/B40c6-3qoao/?igshid=1o26h6d2zh8fi'],[],0,0,0,"['#elogiodellafollia', '#erasmodarotterdam', '#fantaletture', '#classicidaleggere', '#bibliofilincurabili']",[],https://twitter.com/RFantazzini/status/1194718488687972352,False,,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '2970007337', 'username': 'RFantazzini'}]",,,,
1194718188988186625,1194714530242277377,1573677987000,2019-11-13,21:46:27,CET,1978864836,nikpalm64,Nik 🌈,,Sono a dieta perenne 😩,['rididori'],[],[],1,0,1,[],[],https://twitter.com/nikpalm64/status/1194718188988186625,False,,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '1978864836', 'username': 'nikpalm64'}, {'user_id': '1158768503941455872', 'username': 'Rididori'}]",,,,
1194717987758071808,1194715552226402306,1573677939000,2019-11-13,21:45:39,CET,2892254642,guagnano_paolo,Paolo Guagnano,,Buona notte vanda,['biordivanda'],[],[],1,0,1,[],[],https://twitter.com/guagnano_paolo/status/1194717987758071808,False,,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '2892254642', 'username': 'guagnano_paolo'}, {'user_id': '1184196103035609088', 'username': 'BiordiVanda'}]",,,,
1194717931659300864,1194695576224509957,1573677926000,2019-11-13,21:45:26,CET,1978864836,nikpalm64,Nik 🌈,,Indubbiamente.,['ilmici8'],[],[],0,0,0,[],[],https://twitter.com/nikpalm64/status/1194717931659300864,False,,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '1978864836', 'username': 'nikpalm64'}, {'user_id': '1155069798', 'username': 'IlMici8'}]",,,,
1194717197446332417,1194717197446332417,1573677751000,2019-11-13,21:42:31,CET,372937945,leonemaschio,Florio Savino 🦁,,L'impugnatura se la mettesse nel 🕳 il bibitaro. https://twitter.com/VittorioDeSant7/status/1194577335208599552 …,[],['https://twitter.com/VittorioDeSant7/status/1194577335208599552'],[],0,3,3,[],[],https://twitter.com/leonemaschio/status/1194717197446332417,False,https://twitter.com/VittorioDeSant7/status/1194577335208599552,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '372937945', 'username': 'leonemaschio'}]",,,,
1194716475719856135,1194716475719856135,1573677579000,2019-11-13,21:39:39,CET,372937945,leonemaschio,Florio Savino 🦁,,Non abbocca più nessuno. https://twitter.com/andreasso1951/status/1194699052635561984 …,[],['https://twitter.com/andreasso1951/status/1194699052635561984'],[],1,4,4,[],[],https://twitter.com/leonemaschio/status/1194716475719856135,False,https://twitter.com/andreasso1951/status/1194699052635561984,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '372937945', 'username': 'leonemaschio'}]",,,,
1194715553954455553,1194715553954455553,1573677359000,2019-11-13,21:35:59,CET,372937945,leonemaschio,Florio Savino 🦁,,👍 Notte buona anche a te! https://twitter.com/andreasso1951/status/1194711923390111744 …,[],['https://twitter.com/andreasso1951/status/1194711923390111744'],[],0,1,2,[],[],https://twitter.com/leonemaschio/status/1194715553954455553,False,https://twitter.com/andreasso1951/status/1194711923390111744,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '372937945', 'username': 'leonemaschio'}]",,,,
1194715497222279176,1194696423717134337,1573677345000,2019-11-13,21:35:45,CET,898841041134112769,nicla751,Nicla75,,A chi diveva mostrarle le prove a noi o a Mario? Se ha denunciato è  perché le cose non erano proprio andate come millantava J. Su Stella si è già espresso. Sono cmq cose vecchie alle quali ha già dato risposta in passato anche ammettendo errori di valutazione,['66anavi'],[],[],1,0,0,[],[],https://twitter.com/Nicla751/status/1194715497222279176,False,,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '898841041134112769', 'username': 'Nicla751'}, {'user_id': '1274799918', 'username': '66anavI'}]",,,,
1194714696659750912,1194714696659750912,1573677155000,2019-11-13,21:32:35,CET,371461844,ciuffoinsu,Alec,,La nutrizionista mi ha trovato più largo e muscoloso 😍,[],[],[],0,0,0,[],[],https://twitter.com/ciuffoinsu/status/1194714696659750912,False,,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '371461844', 'username': 'ciuffoinsu'}]",,,,
1194714530242277377,1194714530242277377,1573677115000,2019-11-13,21:31:55,CET,1978864836,nikpalm64,Nik 🌈,,"Stasera cena con yogurt 0% grassi, barretta proteica, finocchio crudo e una banana. Ho esagerato?",[],[],[],3,0,5,[],[],https://twitter.com/nikpalm64/status/1194714530242277377,False,,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '1978864836', 'username': 'nikpalm64'}]",,,,
1194714307688308742,1194489736976621570,1573677062000,2019-11-13,21:31:02,CET,2892254642,guagnano_paolo,Paolo Guagnano,,Grazie mille ricambio buona serata notte mappy,['nappyflo'],[],[],0,0,1,[],[],https://twitter.com/guagnano_paolo/status/1194714307688308742,False,,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '2892254642', 'username': 'guagnano_paolo'}, {'user_id': '3068652484', 'username': 'nappyflo'}]",,,,
1194713713464561664,1194653873723588609,1573676920000,2019-11-13,21:28:40,CET,1978864836,nikpalm64,Nik 🌈,,"Quello purtroppo non posso farlo, tranne che camminare, ma va bene lo stesso cosi 😉",['_alexmex'],[],[],0,0,1,[],[],https://twitter.com/nikpalm64/status/1194713713464561664,False,,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '1978864836', 'username': 'nikpalm64'}, {'user_id': '946192859274850304', 'username': '_alexmex'}]",,,,
1194713236588744705,1194713236588744705,1573676806000,2019-11-13,21:26:46,CET,430639805,greenstartit,Greenstart,,"Se all'interno della nuova #Zoe è il B Mode ad averci positivamente colpito, all'esterno i gruppi ottici anteriori e posteriori con fari full #led hanno fatto un notevole passo in avanti

#tesdrive #new…  https://www.instagram.com/p/B40ah7hqk5k/?igshid=1t63y4r2290uo …",[],['https://www.instagram.com/p/B40ah7hqk5k/?igshid=1t63y4r2290uo'],[],0,0,1,"['#zoe', '#led', '#tesdrive', '#new']",[],https://twitter.com/Greenstartit/status/1194713236588744705,False,,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '430639805', 'username': 'Greenstartit'}]",,,,
1194711039562178560,1194711039562178560,1573676283000,2019-11-13,21:18:03,CET,372937945,leonemaschio,Florio Savino 🦁,,Sai dove la manderei la neo? https://twitter.com/andreasso1951/status/1194706740031426562 …,[],['https://twitter.com/andreasso1951/status/1194706740031426562'],[],1,1,4,[],[],https://twitter.com/leonemaschio/status/1194711039562178560,False,https://twitter.com/andreasso1951/status/1194706740031426562,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '372937945', 'username': 'leonemaschio'}]",,,,
1194710593619603457,1194710593619603457,1573676176000,2019-11-13,21:16:16,CET,372937945,leonemaschio,Florio Savino 🦁,,👍 https://twitter.com/Cmmy3/status/1194705442913628165 …,[],['https://twitter.com/Cmmy3/status/1194705442913628165'],[],0,0,0,[],[],https://twitter.com/leonemaschio/status/1194710593619603457,False,https://twitter.com/Cmmy3/status/1194705442913628165,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '372937945', 'username': 'leonemaschio'}]",,,,
